,Ticker,Returns_multiple,RS_Rating
0,MMM,0.7,13.419483101391648
1,AOS,1.17,87.8727634194831
2,ABT,0.89,39.662027833001986
3,ABBV,0.91,44.333996023856855
4,ACN,0.97,58.15109343936382
5,ADM,0.71,15.009940357852884
6,ADBE,1.49,98.2107355864811
7,ADP,0.87,37.17693836978131
8,AES,0.54,2.783300198807157
9,AFL,1.18,88.96620278330019
10,A,0.69,12.027833001988071
11,ABNB,0.94,52.18687872763419
12,APD,1.02,67.39562624254472
13,AKAM,1.08,77.03777335984095
14,ALK,0.67,10.238568588469185
15,ALB,0.44,0.8946322067594433
16,ARE,0.63,7.157057654075547
17,ALGN,1.05,72.66401590457257
18,ALLE,0.92,48.01192842942346
19,LNT,0.93,50.397614314115316
20,ALL,0.95,54.17495029821073
21,GOOGL,1.21,90.95427435387674
22,GOOG,1.22,91.94831013916502
23,MO,0.92,48.01192842942346
24,AMZN,0.96,55.96421471172962
25,AMCR,0.71,15.009940357852884
26,AMD,1.47,97.8131212723658
27,AEE,0.91,44.333996023856855
28,AAL,0.72,16.202783300198806
29,AEP,0.82,28.628230616302186
30,AXP,0.91,44.333996023856855
31,AIG,1.05,72.66401590457257
32,AMT,0.78,21.272365805168985
33,AWK,0.78,21.272365805168985
34,AMP,0.98,61.23260437375746
35,AME,1.04,70.77534791252485
36,AMGN,0.97,58.15109343936382
37,APH,1.01,65.70576540755468
38,ADI,1.05,72.66401590457257
39,ANSS,1.14,84.79125248508946
40,AON,1.06,74.45328031809146
41,APA,0.83,31.21272365805169
42,AAPL,1.05,72.66401590457257
43,AMAT,1.36,95.72564612326043
44,APTV,0.91,44.333996023856855
45,ACGL,1.57,98.80715705765407
46,ANET,1.56,98.60834990059642
47,AJG,1.21,90.95427435387674
48,AIZ,1.02,67.39562624254472
49,T,0.82,28.628230616302186
50,ATO,0.98,61.23260437375746
51,ADSK,0.85,34.39363817097416
52,AZO,0.92,48.01192842942346
53,AVB,0.9,41.15308151093439
54,AVY,0.96,55.96421471172962
55,AXON,1.39,96.42147117296223
56,BKR,1.21,90.95427435387674
57,BALL,0.88,38.767395626242546
58,BAC,0.67,10.238568588469185
59,BBWI,0.79,23.45924453280318
60,BAX,0.52,1.8886679920477136
61,BDX,1.02,67.39562624254472
62,WRB,0.9,41.15308151093439
63,BRK-B,1.07,75.7455268389662
64,BBY,0.98,61.23260437375746
65,BIO,0.67,10.238568588469185
66,TECH,0.75,19.08548707753479
67,BIIB,0.8,25.646123260437374
68,BLK,0.9,41.15308151093439
69,BX,0.94,52.18687872763419
70,BK,0.95,54.17495029821073
71,BA,1.22,91.94831013916502
72,BKNG,1.39,96.42147117296223
73,BWA,1.1,79.22465208747515
74,BXP,0.7,13.419483101391648
75,BSX,1.09,78.03180914512923
76,BMY,0.72,16.202783300198806
77,AVGO,1.73,99.50298210735586
78,BR,1.1,79.22465208747515
79,BRO,1.14,84.79125248508946
80,BF-B,0.78,21.272365805168985
81,BG,0.97,58.15109343936382
82,CHRW,0.8,25.646123260437374
83,CDNS,1.42,97.31610337972168
84,CZR,0.83,31.21272365805169
85,CPT,0.76,19.781312127236582
86,CPB,0.75,19.08548707753479
87,COF,0.82,28.628230616302186
88,CAH,1.17,87.8727634194831
89,KMX,0.9,41.15308151093439
90,CCL,1.19,89.56262425447316
91,CARR,1.18,88.96620278330019
92,CTLT,0.5,1.5904572564612325
93,CAT,1.16,86.97813121272365
94,CBOE,1.2,90.05964214711729
95,CBRE,0.83,31.21272365805169
96,CDW,1.1,79.22465208747515
97,CE,1.1,79.22465208747515
98,COR,1.13,83.1013916500994
99,CNC,0.74,18.09145129224652
100,CNP,0.93,50.397614314115316
101,CDAY,0.94,52.18687872763419
102,CF,0.72,16.202783300198806
103,CRL,0.71,15.009940357852884
104,SCHW,0.63,7.157057654075547
105,CHTR,1.12,81.70974155069582
106,CVX,0.83,31.21272365805169
107,CMG,1.14,84.79125248508946
108,CB,0.98,61.23260437375746
109,CHD,1.12,81.70974155069582
110,CI,0.9,41.15308151093439
111,CINF,0.94,52.18687872763419
112,CTAS,1.13,83.1013916500994
113,CSCO,1.11,80.51689860834989
114,C,0.81,27.037773359840955
115,CFG,0.56,3.5785288270377733
116,CLX,0.82,28.628230616302186
117,CME,1.2,90.05964214711729
118,CMS,0.92,48.01192842942346
119,KO,0.89,39.662027833001986
120,CTSH,0.97,58.15109343936382
121,CL,0.94,52.18687872763419
122,CMCSA,1.28,94.03578528827038
123,CMA,0.54,2.783300198807157
124,CAG,0.75,19.08548707753479
125,COP,0.91,44.333996023856855
126,ED,0.98,61.23260437375746
127,STZ,0.91,44.333996023856855
128,CEG,1.17,87.8727634194831
129,COO,1.05,72.66401590457257
130,CPRT,1.4,96.91848906560637
131,GLW,0.78,21.272365805168985
132,CTVA,0.68,11.232604373757455
133,CSGP,0.81,27.037773359840955
134,COST,1.02,67.39562624254472
135,CTRA,0.91,44.333996023856855
136,CCI,0.66,9.145129224652088
137,CSX,0.95,54.17495029821073
138,CMI,0.87,37.17693836978131
139,CVS,0.7,13.419483101391648
140,DHI,1.23,92.54473161033798
141,DHR,0.79,23.45924453280318
142,DRI,0.97,58.15109343936382
143,DVA,0.72,16.202783300198806
144,DE,0.88,38.767395626242546
145,DAL,0.85,34.39363817097416
146,XRAY,0.96,55.96421471172962
147,DVN,0.61,5.566600397614314
148,DXCM,0.75,19.08548707753479
149,FANG,1.02,67.39562624254472
150,DLR,1.12,81.70974155069582
151,DFS,0.74,18.09145129224652
152,DIS,0.7,13.419483101391648
153,DG,0.44,0.8946322067594433
154,DLTR,0.64,8.05168986083499
155,D,0.58,4.572564612326044
156,DPZ,1.01,65.70576540755468
157,DOV,0.95,54.17495029821073
158,DOW,0.96,55.96421471172962
159,DTE,0.85,34.39363817097416
160,DUK,0.93,50.397614314115316
161,DD,1.17,87.8727634194831
162,EMN,0.87,37.17693836978131
163,ETN,1.25,93.14115308151094
164,EBAY,0.93,50.397614314115316
165,ECL,0.97,58.15109343936382
166,EIX,1.06,74.45328031809146
167,EW,0.72,16.202783300198806
168,EA,0.91,44.333996023856855
169,ELV,0.78,21.272365805168985
170,LLY,1.52,98.40954274353876
171,EMR,0.98,61.23260437375746
172,ENPH,0.3,0.19880715705765406
173,ETR,0.84,33.00198807157058
174,EOG,0.93,50.397614314115316
175,EPAM,0.57,4.174950298210735
176,EQT,1.0,64.41351888667992
177,EFX,0.92,48.01192842942346
178,EQIX,1.15,86.28230616302187
179,EQR,0.83,31.21272365805169
180,ESS,0.88,38.767395626242546
181,EL,0.61,5.566600397614314
182,ETSY,0.57,4.174950298210735
183,EG,1.31,94.83101391650099
184,EVRG,0.79,23.45924453280318
185,ES,0.69,12.027833001988071
186,EXC,0.98,61.23260437375746
187,EXPE,0.91,44.333996023856855
188,EXPD,1.04,70.77534791252485
189,EXR,0.57,4.174950298210735
190,XOM,0.96,55.96421471172962
191,FFIV,0.97,58.15109343936382
192,FDS,0.94,52.18687872763419
193,FICO,1.69,99.10536779324056
194,FAST,1.14,84.79125248508946
195,FRT,0.86,35.785288270377734
196,FDX,1.39,96.42147117296223
197,FITB,0.62,6.36182902584493
198,FSLR,1.05,72.66401590457257
199,FE,0.94,52.18687872763419
200,FIS,0.56,3.5785288270377733
201,FI,1.03,69.28429423459245
202,FLT,1.17,87.8727634194831
203,FMC,0.44,0.8946322067594433
204,F,0.91,44.333996023856855
205,FTNT,0.92,48.01192842942346
206,FTV,0.95,54.17495029821073
207,FOXA,0.97,58.15109343936382
208,FOX,0.95,54.17495029821073
209,BEN,0.91,44.333996023856855
210,FCX,0.94,52.18687872763419
211,GRMN,1.13,83.1013916500994
212,IT,1.04,70.77534791252485
213,GEHC,0.98,61.23260437375746
214,GEN,0.7,13.419483101391648
215,GNRC,0.65,8.548707753479125
216,GD,0.92,48.01192842942346
217,GE,1.73,99.50298210735586
218,GIS,0.79,23.45924453280318
219,GM,0.71,15.009940357852884
220,GPC,0.7,13.419483101391648
221,GILD,1.05,72.66401590457257
222,GL,0.9,41.15308151093439
223,GPN,0.81,27.037773359840955
224,GS,0.83,31.21272365805169
225,HAL,1.03,69.28429423459245
226,HIG,0.97,58.15109343936382
227,HAS,0.79,23.45924453280318
228,HCA,0.96,55.96421471172962
229,PEAK,0.69,12.027833001988071
230,HSIC,0.87,37.17693836978131
231,HSY,0.78,21.272365805168985
232,HES,1.0,64.41351888667992
233,HPE,1.02,67.39562624254472
234,HLT,1.07,75.7455268389662
235,HOLX,0.92,48.01192842942346
236,HD,0.91,44.333996023856855
237,HON,0.87,37.17693836978131
238,HRL,0.66,9.145129224652088
239,HST,0.83,31.21272365805169
240,HWM,1.14,84.79125248508946
241,HPQ,0.9,41.15308151093439
242,HUBB,1.09,78.03180914512923
243,HUM,0.89,39.662027833001986
244,HBAN,0.61,5.566600397614314
245,HII,0.8,25.646123260437374
246,IBM,0.98,61.23260437375746
247,IEX,0.79,23.45924453280318
248,IDXX,1.05,72.66401590457257
249,ITW,1.02,67.39562624254472
250,ILMN,0.44,0.8946322067594433
251,INCY,0.67,10.238568588469185
252,IR,1.12,81.70974155069582
253,PODD,0.52,1.8886679920477136
254,INTC,1.14,84.79125248508946
255,ICE,1.06,74.45328031809146
256,IFF,0.66,9.145129224652088
257,IP,0.96,55.96421471172962
258,IPG,0.87,37.17693836978131
259,INTU,1.05,72.66401590457257
260,ISRG,1.01,65.70576540755468
261,IVZ,0.8,25.646123260437374
262,INVH,0.85,34.39363817097416
263,IQV,0.82,28.628230616302186
264,IRM,1.13,83.1013916500994
265,JBHT,0.93,50.397614314115316
266,JKHY,0.68,11.232604373757455
267,J,1.08,77.03777335984095
268,JNJ,0.83,31.21272365805169
269,JCI,0.79,23.45924453280318
270,JPM,1.07,75.7455268389662
271,JNPR,0.79,23.45924453280318
272,K,0.7,13.419483101391648
273,KVUE,0.68,11.232604373757455
274,KDP,0.7,13.419483101391648
275,KEY,0.54,2.783300198807157
276,KEYS,0.63,7.157057654075547
277,KMB,0.94,52.18687872763419
278,KIM,0.77,20.178926441351887
279,KMI,0.92,48.01192842942346
280,KLAC,1.38,96.02385685884693
281,KHC,0.83,31.21272365805169
282,KR,0.91,44.333996023856855
283,LHX,0.66,9.145129224652088
284,LH,0.93,50.397614314115316
285,LRCX,1.4,96.91848906560637
286,LW,0.98,61.23260437375746
287,LVS,1.22,91.94831013916502
288,LDOS,0.87,37.17693836978131
289,LEN,1.21,90.95427435387674
290,LIN,1.15,86.28230616302187
291,LYV,0.91,44.333996023856855
292,LKQ,0.82,28.628230616302186
293,LMT,0.91,44.333996023856855
294,L,1.05,72.66401590457257
295,LOW,0.9,41.15308151093439
296,LULU,1.13,83.1013916500994
297,LYB,1.05,72.66401590457257
298,MTB,0.64,8.05168986083499
299,MRO,0.87,37.17693836978131
300,MPC,1.22,91.94831013916502
301,MKTX,0.83,31.21272365805169
302,MAR,1.12,81.70974155069582
303,MMC,1.14,84.79125248508946
304,MLM,1.14,84.79125248508946
305,MAS,0.99,63.32007952286283
306,MA,1.11,80.51689860834989
307,MTCH,0.72,16.202783300198806
308,MKC,0.79,23.45924453280318
309,MCD,0.94,52.18687872763419
310,MCK,1.08,77.03777335984095
311,MDT,0.79,23.45924453280318
312,MRK,0.99,63.32007952286283
313,META,2.11,99.80119284294234
314,MET,0.79,23.45924453280318
315,MTD,0.71,15.009940357852884
316,MGM,0.92,48.01192842942346
317,MCHP,1.06,74.45328031809146
318,MU,1.11,80.51689860834989
319,MSFT,1.36,95.72564612326043
320,MAA,0.8,25.646123260437374
321,MRNA,0.49,1.3916500994035785
322,MHK,0.73,17.19681908548708
323,MOH,0.83,31.21272365805169
324,TAP,1.08,77.03777335984095
325,MDLZ,1.03,69.28429423459245
326,MPWR,1.11,80.51689860834989
327,MNST,1.0,64.41351888667992
328,MCO,1.13,83.1013916500994
329,MS,0.84,33.00198807157058
330,MOS,0.59,4.870775347912525
331,MSI,1.08,77.03777335984095
332,MSCI,0.98,61.23260437375746
333,NDAQ,0.77,20.178926441351887
334,NTAP,1.01,65.70576540755468
335,NFLX,1.26,93.53876739562624
336,NEM,0.8,25.646123260437374
337,NWSA,1.12,81.70974155069582
338,NWS,1.15,86.28230616302187
339,NEE,0.7,13.419483101391648
340,NKE,1.04,70.77534791252485
341,NI,0.95,54.17495029821073
342,NDSN,0.88,38.767395626242546
343,NSC,0.78,21.272365805168985
344,NTRS,0.73,17.19681908548708
345,NOC,0.85,34.39363817097416
346,NCLH,0.79,23.45924453280318
347,NRG,0.92,48.01192842942346
348,NUE,0.98,61.23260437375746
349,NVDA,2.97,100.0
350,NVR,1.18,88.96620278330019
351,NXPI,1.12,81.70974155069582
352,ORLY,1.03,69.28429423459245
353,OXY,0.81,27.037773359840955
354,ODFL,1.24,92.84294234592446
355,OMC,0.99,63.32007952286283
356,ON,1.1,79.22465208747515
357,OKE,1.1,79.22465208747515
358,ORCL,1.26,93.53876739562624
359,OTIS,1.03,69.28429423459245
360,PCAR,1.3,94.63220675944333
361,PKG,1.21,90.95427435387674
362,PANW,1.34,95.2286282306163
363,PARA,0.53,2.286282306163022
364,PH,1.23,92.54473161033798
365,PAYX,0.92,48.01192842942346
366,PAYC,0.69,12.027833001988071
367,PYPL,0.53,2.286282306163022
368,PNR,1.27,93.83697813121272
369,PEP,0.85,34.39363817097416
370,PFE,0.64,8.05168986083499
371,PCG,0.98,61.23260437375746
372,PM,0.97,58.15109343936382
373,PSX,1.03,69.28429423459245
374,PNW,1.08,77.03777335984095
375,PXD,0.91,44.333996023856855
376,PNC,0.66,9.145129224652088
377,POOL,0.97,58.15109343936382
378,PPG,1.0,64.41351888667992
379,PPL,0.9,41.15308151093439
380,PFG,0.78,21.272365805168985
381,PG,1.07,75.7455268389662
382,PGR,1.17,87.8727634194831
383,PLD,0.85,34.39363817097416
384,PRU,0.85,34.39363817097416
385,PEG,1.04,70.77534791252485
386,PTC,1.1,79.22465208747515
387,PSA,0.76,19.781312127236582
388,PHM,1.69,99.10536779324056
389,QRVO,0.92,48.01192842942346
390,PWR,1.1,79.22465208747515
391,QCOM,0.83,31.21272365805169
392,DGX,0.82,28.628230616302186
393,RL,1.15,86.28230616302187
394,RJF,0.8,25.646123260437374
395,RTX,0.81,27.037773359840955
396,O,0.78,21.272365805168985
397,REG,0.96,55.96421471172962
398,REGN,0.99,63.32007952286283
399,RF,0.63,7.157057654075547
400,RSG,1.03,69.28429423459245
401,RMD,0.55,3.180914512922465
402,RVTY,0.67,10.238568588469185
403,RHI,0.92,48.01192842942346
404,ROK,1.02,67.39562624254472
405,ROL,0.8,25.646123260437374
406,ROP,1.14,84.79125248508946
407,ROST,1.15,86.28230616302187
408,RCL,1.48,98.01192842942345
409,SPGI,1.04,70.77534791252485
410,CRM,1.13,83.1013916500994
411,SBAC,0.7,13.419483101391648
412,SLB,1.01,65.70576540755468
413,STX,1.2,90.05964214711729
414,SEE,0.61,5.566600397614314
415,SRE,0.92,48.01192842942346
416,NOW,1.32,95.02982107355865
417,SHW,1.0,64.41351888667992
418,SPG,0.97,58.15109343936382
419,SWKS,0.97,58.15109343936382
420,SJM,0.73,17.19681908548708
421,SNA,1.09,78.03180914512923
422,SEDG,0.33,0.3976143141153081
423,SO,0.97,58.15109343936382
424,LUV,0.64,8.05168986083499
425,SWK,0.93,50.397614314115316
426,SBUX,1.02,67.39562624254472
427,STT,0.84,33.00198807157058
428,STLD,0.95,54.17495029821073
429,STE,1.14,84.79125248508946
430,SYK,1.05,72.66401590457257
431,SYF,0.74,18.09145129224652
432,SNPS,1.42,97.31610337972168
433,SYY,0.74,18.09145129224652
434,TMUS,0.92,48.01192842942346
435,TROW,0.82,28.628230616302186
436,TTWO,1.01,65.70576540755468
437,TPR,0.83,31.21272365805169
438,TRGP,1.19,89.56262425447316
439,TGT,0.62,6.36182902584493
440,TEL,0.91,44.333996023856855
441,TDY,0.91,44.333996023856855
442,TFX,0.82,28.628230616302186
443,TER,0.98,61.23260437375746
444,TSLA,0.87,37.17693836978131
445,TXN,0.85,34.39363817097416
446,TXT,1.06,74.45328031809146
447,TMO,0.79,23.45924453280318
448,TJX,1.17,87.8727634194831
449,TSCO,0.85,34.39363817097416
450,TT,1.11,80.51689860834989
451,TDG,1.35,95.42743538767395
452,TRV,0.87,37.17693836978131
453,TRMB,0.74,18.09145129224652
454,TFC,0.61,5.566600397614314
455,TYL,0.98,61.23260437375746
456,TSN,0.63,7.157057654075547
457,USB,0.71,15.009940357852884
458,UDR,0.82,28.628230616302186
459,ULTA,0.87,37.17693836978131
460,UNP,0.98,61.23260437375746
461,UAL,0.75,19.08548707753479
462,UPS,0.83,31.21272365805169
463,URI,1.25,93.14115308151094
464,UNH,0.91,44.333996023856855
465,UHS,1.03,69.28429423459245
466,VLO,0.95,54.17495029821073
467,VTR,1.02,67.39562624254472
468,VLTO,0.83,31.21272365805169
469,VRSN,1.02,67.39562624254472
470,VRSK,1.21,90.95427435387674
471,VZ,0.91,44.333996023856855
472,VRTX,1.07,75.7455268389662
473,VFC,0.62,6.36182902584493
474,VTRS,0.86,35.785288270377734
475,VICI,0.86,35.785288270377734
476,V,1.07,75.7455268389662
477,VMC,1.16,86.97813121272365
478,WAB,1.06,74.45328031809146
479,WBA,0.59,4.870775347912525
480,WMT,1.07,75.7455268389662
481,WBD,0.68,11.232604373757455
482,WM,0.95,54.17495029821073
483,WAT,0.73,17.19681908548708
484,WEC,0.88,38.767395626242546
485,WFC,0.8,25.646123260437374
486,WELL,1.29,94.33399602385686
487,WST,1.29,94.33399602385686
488,WDC,1.09,78.03180914512923
489,WRK,0.98,61.23260437375746
490,WY,0.89,39.662027833001986
491,WHR,0.9,41.15308151093439
492,WMB,1.04,70.77534791252485
493,WTW,0.91,44.333996023856855
494,GWW,1.18,88.96620278330019
495,WYNN,1.43,97.61431411530815
496,XEL,0.9,41.15308151093439
497,XYL,0.82,28.628230616302186
498,YUM,1.0,64.41351888667992
499,ZBRA,0.67,10.238568588469185
500,ZBH,0.85,34.39363817097416
501,ZION,0.56,3.5785288270377733
502,ZTS,1.0,64.41351888667992
